#{"t_start": 1706456297.8432481, "env_id": "CurvyRaceEnv-v0"}
r,l,t
58.101114,100,0.139119
-142.667266,100,0.265228
65.64641,100,0.39584
-1.995727,100,0.521448
24.647908,100,0.658066
6.722809,100,0.795183
-71.318025,100,0.928298
-110.189129,100,1.05841
-105.905045,100,1.191524
22.673752,100,1.322637
5.133466,100,1.454751
84.67627,100,1.586364
4.769774,100,1.726985
48.252906,100,1.860099
-99.042907,100,1.998218
-54.587913,100,2.136837
26.331941,100,2.30348
-39.627787,100,2.447604
-7.450522,100,2.589226
-9.840506,100,2.730347
-8.098075,100,2.877974
-5.176583,100,3.022097
-14.892235,100,3.167723
-71.822165,100,3.311847
-102.135919,100,3.45597
-63.954939,100,3.600095
-6.46829,100,3.749223
9.431418,100,3.912363
-23.679963,100,4.057988
-35.452641,100,4.213622
-72.501861,100,4.387271
4.186825,100,4.546407
5.706843,100,4.702042
4.730762,100,4.8862
-63.621549,100,5.047838
-8.478322,100,5.224991
0.437845,100,5.391134
-29.841743,100,5.558778
3.007959,100,5.720917
-29.321063,100,5.891063
-20.415039,100,6.064212
-6.06477,100,6.240864
-3.54439,100,6.420518
-13.242274,100,6.586161
-17.282132,100,6.752804
-14.111548,100,6.917946
-31.43281,100,7.100603
-16.969021,100,7.261742
14.880304,100,7.429385
-15.844766,100,7.59703
-11.848251,100,7.791196
-17.084508,100,7.963845
-11.526932,100,8.140497
-16.48063,100,8.298632
-13.634426,100,8.474784
-15.579936,100,8.648934
-12.71831,100,8.810072
-7.805226,100,8.972212
-13.035038,100,9.138855
-17.385546,100,9.298993
-10.256849,100,9.466637
-12.762617,100,9.63378
-13.908878,100,9.806429
-15.468252,100,9.980078
-10.659202,100,10.141717
-13.041979,100,10.307359
-11.459032,100,10.478006
-16.222943,100,10.670171
-10.990779,100,10.839817
-14.333222,100,11.012966
-9.639328,100,11.182111
-8.521319,100,11.346252
-10.264109,100,11.5184
-2.683071,100,11.683042
-6.652828,100,11.851186
-7.39978,100,12.02984
-8.530998,100,12.199986
-16.023727,100,12.376638
-14.704612,100,12.552789
-8.316479,100,12.723436
6.367565,100,12.893082
-13.015373,100,13.075238
-15.457332,100,13.239379
-6.224493,100,13.416031
7.619031,100,13.611199
32.041138,100,13.782346
7.716887,100,13.952993
9.890061,100,14.119135
7.618663,100,14.302293
4.852714,100,14.476943
11.672889,100,14.643586
13.817989,100,14.812732
2.262033,100,14.987382
9.509716,100,15.153024
4.866835,100,15.318166
2.691721,100,15.483308
-4.275383,100,15.670969
3.349924,100,15.867138
5.31838,100,16.0563
29.896957,100,16.235455
39.686994,100,16.402598
