#{"t_start": 1704879035.513526, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-1839.747228,100,0.052434
-1427.703422,100,0.107642
-1385.489509,100,1.337508
-1366.252458,100,2.208187
-1377.615706,100,2.979031
-1754.324364,100,3.717709
-1883.21891,100,4.515994
-1988.389216,100,5.280348
-2000.0,100,6.019767
-2000.0,100,6.774053
-2000.0,100,7.53234
-1988.391781,100,8.288855
-2000.0,100,9.045874
-2000.0,100,9.805053
-1988.63789,100,10.578498
-1988.529474,100,11.337173
-1988.504311,100,12.37334
-1988.479078,100,13.324759
-1988.350007,100,14.279189
-1988.286461,100,15.959579
-2000.0,100,16.828961
-2000.0,100,17.560479
-1988.656869,100,18.284971
-1917.690221,100,19.019518
-1944.64384,100,19.747772
-1934.967071,100,20.480525
-1987.999751,100,21.246808
-1704.535078,100,22.173506
-1934.261004,100,23.081066
-1868.662681,100,24.094041
-1964.823826,100,25.11864
-1914.144535,100,25.987727
-1485.904699,100,26.843995
-1737.046395,100,27.742409
-1670.632597,100,28.612063
-1720.303312,100,29.543513
-1711.657419,100,30.446651
-1898.004386,100,31.353004
-1923.676663,100,32.210763
-1893.2083,100,33.069662
-1904.114778,100,33.922536
-1887.084588,100,34.771389
-1869.959588,100,35.637676
-1916.958738,100,36.498006
-1935.847306,100,37.364635
-1568.031642,100,38.229045
-1826.179742,100,39.088794
-1593.62178,100,39.942546
-1619.945923,100,40.812111
-1588.173137,100,41.679549
-1651.6722,100,42.531519
-1483.887397,100,43.386364
-1796.023704,100,44.235816
-1791.538402,100,45.093493
-1506.582745,100,45.970362
-1644.689802,100,46.824589
-1823.157864,100,47.686694
-1612.614986,100,48.555854
-1827.707638,100,49.431649
-1787.359389,100,50.289486
-1713.639751,100,51.145463
-1772.89278,100,52.001886
-1007.84387,100,52.898145
-1681.657656,100,53.803055
-1767.750665,100,54.707203
-1777.334389,100,55.605412
-1771.379173,100,56.499322
-1791.828447,100,57.382405
-1745.151953,100,58.279335
-1784.976606,100,59.174352
-1765.83671,100,60.054031
-1104.927053,100,60.96221
-1748.967111,100,61.862026
-1880.158882,100,62.754547
-1988.680788,100,63.625245
-1778.549953,100,64.490435
-1812.748395,100,65.402304
-1566.705724,100,66.287731
-1525.880651,100,67.181149
-1746.502736,100,68.065943
-1760.891363,100,68.957775
-1548.444093,100,69.852802
-1505.065135,100,70.760485
-1747.633502,100,71.649789
-1767.796186,100,72.570156
-1735.705579,100,73.467692
-1370.198419,100,74.428588
-1186.122441,100,75.329121
-1415.310648,100,76.231796
-1409.501658,100,77.124076
-1426.166224,100,78.052043
-1648.4471,100,78.943461
-1597.561051,100,79.835669
-1342.119408,100,80.73851
-1216.002753,100,81.720147
-1296.785865,100,82.609305
-1324.744126,100,83.511129
-1613.995464,100,84.404928
-1332.698796,100,85.306005
-1612.89309,100,86.195194
