#{"t_start": 1706727624.0760794, "env_id": "CurvyRaceEnv-v0"}
r,l,t
10.525108,100,0.189162
-94.145189,100,0.36131
82.547311,100,0.52345
-20.435317,100,0.700103
-131.089305,100,0.855735
-19.78213,100,1.017374
11.346414,100,1.180014
53.965345,100,1.347658
-88.103736,100,1.520306
-49.126907,100,1.703964
-15.734924,100,1.879616
-13.892518,100,2.044757
-37.770583,100,2.216905
65.536245,100,2.38555
-53.018534,100,2.561701
-70.526383,100,2.726342
-83.956439,100,2.904495
-77.418965,100,3.083149
-62.871022,100,3.252795
-80.905942,100,3.43345
-119.310549,100,3.621612
-25.170857,100,3.797763
-54.53245,100,3.984924
-61.140423,100,4.171586
-60.950501,100,4.956759
65.71368,100,5.129907
74.003111,100,5.302556
66.450102,100,5.489717
98.036519,100,5.676377
81.666962,100,5.85203
75.274386,100,6.031682
86.065633,100,6.20333
87.519772,100,6.395495
137.528976,100,6.591164
58.759228,100,6.765813
69.853454,100,6.947469
73.857564,100,7.148142
78.929712,100,7.348815
78.553316,100,7.543482
84.813882,100,7.73965
74.905398,100,7.927812
68.654986,100,8.148002
79.975571,100,8.341668
75.269714,100,8.550347
85.282103,100,8.754022
65.398362,100,8.958698
71.512277,100,9.157371
73.207003,100,9.367049
7.781874,100,9.878488
93.403976,100,10.076658
96.999494,100,10.286339
99.981908,100,10.492016
97.543957,100,10.69519
99.23809,100,10.880349
105.541541,100,11.084524
98.559268,100,11.279192
92.822925,100,11.465351
90.183048,100,11.658519
98.752781,100,11.837672
93.090092,100,12.030337
100.962031,100,12.220501
91.851053,100,12.413666
97.092788,100,12.592822
93.958988,100,12.79049
93.86719,100,12.984657
98.873957,100,13.168816
97.348692,100,13.361481
99.283401,100,13.557149
96.777214,100,13.746812
85.490932,100,13.937476
102.37606,100,14.123135
102.229754,100,14.330314
99.448043,100,14.861776
108.128985,100,15.041925
105.5942,100,15.230086
105.077677,100,15.411242
108.380212,100,15.594899
105.140289,100,15.789067
104.93301,100,15.970222
107.202769,100,16.162889
104.597332,100,16.359558
111.252636,100,16.556226
109.61873,100,16.73388
107.336984,100,16.914033
107.809211,100,17.09669
106.451653,100,17.273842
104.821154,100,17.461004
106.736063,100,17.642172
107.653662,100,17.833324
101.391306,100,18.026989
104.278226,100,18.213151
109.644702,100,18.398309
107.267909,100,18.577463
108.510948,100,18.762622
105.814975,100,18.947281
106.174759,100,19.134943
108.119779,100,19.313595
119.227078,100,19.810021
100.491819,100,19.987674
48.650166,100,20.171834
74.942768,100,20.35449
87.012118,100,20.536146
108.066743,100,20.731814
32.663202,100,20.907966
90.643607,100,21.091624
101.512741,100,21.267774
99.577303,100,21.451432
48.566523,100,21.657609
112.387016,100,21.848774
57.418528,100,22.03043
118.523572,100,22.221094
99.053763,100,22.407254
106.293695,100,22.590911
110.760278,100,22.770065
11.639811,100,22.953723
72.010828,100,23.13638
95.565926,100,23.319537
62.685748,100,23.503696
114.182145,100,23.685852
-6.901231,100,23.885024
108.655248,100,24.073185
111.000023,100,24.564608
111.777356,100,24.737756
111.95712,100,24.915909
105.794892,100,25.092561
112.317213,100,25.26621
107.414217,100,25.444864
112.164728,100,25.617012
109.659905,100,25.798668
106.050715,100,25.993335
111.891701,100,26.170488
110.511795,100,26.380168
111.225918,100,26.564325
107.985051,100,26.762996
107.99207,100,26.955662
107.847971,100,27.152831
107.269367,100,27.356506
111.035071,100,27.562183
113.395521,100,27.773865
107.991478,100,27.980042
113.339224,100,28.165702
106.881673,100,28.351862
108.508246,100,28.554535
108.230162,100,28.772723
112.411658,100,28.969893
71.640697,100,29.488338
51.293743,100,29.680504
64.126501,100,29.87517
79.670524,100,30.07234
88.457532,100,30.266507
40.941672,100,30.459172
73.197278,100,30.633822
93.946943,100,30.81698
71.38048,100,31.007643
95.115177,100,31.205814
83.066886,100,31.391473
52.281184,100,31.576632
100.048365,100,31.760791
69.846183,100,31.955959
93.737962,100,32.136614
69.91421,100,32.33028
67.118966,100,32.525448
67.237924,100,32.716612
63.885951,100,32.892764
42.753112,100,33.087931
81.688378,100,33.287102
56.764028,100,33.495781
71.312536,100,33.688949
60.494927,100,33.879112
73.937616,100,34.381042
118.689419,100,34.577711
122.340736,100,34.756365
121.638579,100,34.944527
121.056076,100,35.140695
120.729358,100,35.322851
122.674269,100,35.501004
127.594408,100,35.690167
120.237588,100,35.875326
119.342178,100,36.054981
125.29802,100,36.243642
124.183062,100,36.447318
124.55835,100,36.627973
119.670907,100,36.804625
125.422175,100,36.991785
120.049538,100,37.175944
121.204083,100,37.393631
122.302112,100,37.57829
116.280606,100,37.763448
121.335091,100,37.95061
119.217823,100,38.143775
117.352371,100,38.330436
126.244182,100,38.514094
116.356222,100,38.694749
123.331723,100,38.887414
40.842821,100,39.411865
69.248822,100,39.677093
77.078912,100,39.952329
83.719133,100,40.170517
50.680727,100,40.339162
58.677669,100,40.487289
58.584454,100,40.643424
49.029303,100,40.787047
81.984137,100,40.931171
80.502433,100,41.117831
55.274947,100,41.294983
68.964535,100,41.448615
73.599084,100,41.633273
57.06398,100,41.816431
52.631213,100,41.985076
45.205446,100,42.162229
73.886971,100,42.345886
69.637454,100,42.530545
80.39689,100,42.7112
66.513023,100,42.878345
84.787449,100,43.066006
70.810465,100,43.255668
81.047975,100,43.438325
67.39132,100,43.619481
109.869379,100,44.12041
133.458895,100,44.314077
130.34182,100,44.513249
116.555976,100,44.70191
120.332279,100,44.892575
132.546463,100,45.07423
122.404311,100,45.272901
123.616585,100,45.473574
112.973946,100,45.683254
129.899661,100,45.908948
130.025001,100,46.099611
129.194959,100,46.3188
126.532686,100,46.543493
132.019295,100,46.752672
130.597764,100,46.987374
126.85737,100,47.189548
125.074697,100,47.42375
126.261656,100,47.620418
122.712941,100,47.868631
127.832639,100,48.100331
129.959525,100,48.315016
126.987869,100,48.540709
