#{"t_start": 1705430325.650758, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-35.739597,100,0.107592
34.535876,100,2.906495
11.361244,100,5.206471
1.413144,100,7.612037
-28.36668,100,9.928026
53.896298,100,12.228501
59.548986,100,14.570513
126.597528,100,16.970073
127.814743,100,19.191983
119.786872,100,21.429403
96.246735,100,23.686844
94.145305,100,25.937274
95.189655,100,28.638594
93.583537,100,30.626301
106.224221,100,32.726605
135.766787,100,35.113657
155.296013,100,37.701377
151.434214,100,40.536313
146.198136,100,43.248643
116.547415,100,46.148631
144.556202,100,48.865467
146.350787,100,51.078366
144.426486,100,53.645071
138.635299,100,56.156728
143.465572,100,58.362622
161.573523,100,60.645583
156.706263,100,62.89251
156.648073,100,65.635368
136.034442,100,68.42326
138.174974,100,70.989966
175.519682,100,73.878948
176.922448,100,76.613794
179.432263,100,79.12295
178.707191,100,81.614089
171.674061,100,83.861019
161.785372,100,86.222047
120.716183,100,88.665144
96.690801,100,91.08272
0.706468,100,93.701969
139.30991,100,95.886347
34.01774,100,98.264888
81.701298,100,100.599392
74.862413,100,103.202628
231.01388,100,105.972508
226.400672,100,108.412603
211.742413,100,110.931265
193.846725,100,113.421904
473.217946,100,115.890526
927.15406,100,118.397677
344.640612,100,120.915342
345.646772,100,123.414487
521.206735,100,125.917637
2199.940855,45,126.98205
2197.815472,45,128.082995
712.330407,100,130.588649
2196.994972,50,131.838222
1212.03527,100,134.324855
2198.341195,50,135.662004
2197.057216,47,136.835512
2193.688325,48,138.051056
476.502291,100,140.482643
591.990549,100,143.240012
575.773807,100,145.936327
582.661548,100,148.41946
2197.926031,53,149.665029
2198.787209,59,150.956138
2197.850845,48,152.061587
2197.061606,46,153.089971
2199.185676,47,154.493676
2198.013823,45,155.689204
2196.398957,47,156.926265
2200.787478,46,158.005191
2198.661544,47,159.332834
2199.633608,47,160.455296
2198.271211,46,161.561247
2198.997289,47,162.790302
2198.806187,47,163.923274
2199.746215,47,165.068258
2199.264744,47,166.210739
2199.392134,47,167.563903
2197.201171,47,168.864017
2199.057784,47,170.078562
2198.23384,48,171.426218
2197.602939,47,172.667785
2198.640495,49,174.040963
2198.035911,48,175.355093
2198.998063,48,176.627684
2197.784537,47,177.903281
2200.02388,48,179.30098
2199.321266,47,180.506516
2198.194638,47,181.79262
2199.521682,47,182.997657
2197.628198,48,184.275252
2197.098709,47,185.503808
2199.271325,46,186.832449
2197.872179,49,188.182607
2196.810588,47,189.438186
2198.34009,46,190.754816
2199.245239,45,192.043425
2198.066732,48,193.265473
2198.705649,47,194.452492
2199.531279,47,195.631506
2198.76391,49,196.935125
2197.82071,46,198.097124
2197.642644,46,199.323175
2199.04152,47,200.513197
2199.761847,47,201.806309
2197.182074,48,203.057882
2198.245922,47,204.223383
2197.741679,46,205.392887
2196.975043,48,206.627448
2199.357642,48,207.872016
2197.967798,48,209.078553
2199.113267,47,210.364157
2196.506179,47,211.557182
2198.53001,47,212.902336
2199.368829,47,214.133394
2197.499524,46,215.381965
2196.943504,46,216.51494
2199.017905,45,217.734487
2196.66216,49,218.930014
2198.097103,46,220.156066
2198.734249,46,221.309056
2199.022307,47,222.550623
2198.597434,46,223.691102
2197.760531,49,224.995722
2198.288284,47,226.189247
2198.401159,45,227.374766
2199.577548,46,228.494228
2198.55306,49,229.842885
2200.16735,50,231.008387
2198.721083,48,232.221428
2198.907241,47,233.430467
2198.361555,48,234.640004
2200.185215,48,235.862056
2199.393978,51,237.187194
2196.57955,47,238.387722
2199.620929,49,239.766407
2198.098707,47,240.875859
2198.874652,46,242.058375
2198.607433,46,243.161823
2198.351569,46,244.364355
2198.511715,48,245.547872
2197.719272,47,246.782434
2198.68574,48,247.956942
2198.276606,48,249.229035
