#{"t_start": 1705265892.0710604, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-65.015515,100,0.923794
-5.0576,100,3.504011
-38.568725,100,5.720916
-19.338827,100,7.834231
-5.473118,100,10.215278
1.108058,100,13.178824
7.674905,100,15.634935
53.075897,100,18.388801
66.778002,100,21.105635
273.548051,100,23.762418
302.213863,100,26.320616
385.881752,100,28.72268
338.648159,100,31.354942
583.096203,100,33.885117
139.886637,100,36.409285
1145.171998,100,38.747794
2191.882058,62,40.078938
436.621567,100,42.263315
2199.338189,56,43.534407
914.445363,100,45.804358
2201.863768,50,46.897297
2199.806142,53,48.112341
2198.984471,50,49.264331
497.277077,100,51.576318
2197.663741,54,52.952
2197.816067,50,54.093981
2198.878415,57,55.437135
2198.74132,58,56.798805
2196.413002,55,58.024358
2198.839938,53,59.227392
2196.732461,55,60.503989
2201.318928,53,61.725038
2197.949219,52,62.919064
2199.63485,55,64.251208
2200.554224,53,65.455243
2196.660728,75,67.20875
2198.598534,53,68.425295
2199.427163,52,69.590797
2200.540016,67,71.105098
459.45618,100,73.336515
2195.11369,98,75.600961
2183.427937,93,77.796847
2200.488337,50,78.976862
2201.920452,49,80.089818
2202.438928,53,81.30236
2202.516543,53,82.503892
2198.74103,53,83.703923
2204.284832,52,84.857915
2200.864294,52,86.035427
2198.08498,62,87.464155
2199.935633,53,88.684203
2201.3391,53,89.906753
2200.989484,49,90.993187
2200.095031,49,92.097636
2201.732354,52,93.247624
2200.480429,51,94.433643
2200.864669,52,95.603648
2202.422762,47,96.660557
2200.271568,50,97.860588
2201.433151,51,99.060119
2201.529001,51,100.584929
2199.486928,48,101.735417
2201.053174,52,102.781316
2203.286969,50,103.886766
1057.041503,100,105.978063
2189.177393,75,107.623977
2201.268275,50,108.754449
2201.432801,50,109.894928
1057.092118,100,112.111333
2201.647731,52,113.265324
2200.488264,50,114.384286
2202.087003,56,115.638864
2202.278652,51,116.777843
2204.210419,51,117.895303
2200.125968,51,119.085826
2201.842933,51,120.273346
2198.488335,47,121.469374
2200.639153,54,122.731959
2200.997758,54,123.994543
2200.412497,51,125.171054
2200.626048,52,126.349567
2198.967642,50,127.479538
2200.73979,50,128.605005
2201.863042,50,129.729972
2199.661536,48,130.842427
2202.339998,49,132.177074
2201.107031,48,133.24249
2202.232232,48,134.425006
2197.940563,48,135.557479
2202.423991,48,136.597373
2200.42889,47,137.641269
2202.801343,48,138.675158
2199.238548,46,139.71355
2200.960061,50,140.808491
2198.748516,49,141.995511
2199.467752,51,143.200046
2200.818218,49,144.391069
2199.232792,47,145.461493
2201.261062,47,146.573945
2200.145741,48,147.666384
2199.412604,47,148.735302
2200.489721,48,149.841753
2199.973317,49,150.951206
2201.34098,50,152.11921
2199.441492,48,153.211149
2200.961476,50,154.427693
2200.428347,48,155.551159
2201.345662,49,156.68113
2199.028441,50,157.788582
2199.281593,50,158.941572
2199.907881,48,160.011992
2202.283507,48,161.116941
2201.807357,48,162.187861
2201.913514,48,163.298817
2200.614764,48,164.38575
2200.940622,48,165.533236
2201.367796,49,166.660705
2200.925226,47,167.813195
2200.717412,48,168.918145
2201.940193,49,170.05362
2201.239882,50,171.184092
2201.292831,48,172.292044
2200.633607,48,173.430522
2201.514965,48,174.493435
2198.357539,46,175.576365
2199.890736,47,176.655793
2199.747629,48,177.785264
2201.066194,48,178.866693
2199.306389,48,180.014179
2199.412139,48,181.094607
2200.601968,47,182.219574
2201.25699,51,183.354549
2199.003753,48,184.470008
2202.718787,48,185.53142
2201.552643,47,186.608846
2199.467579,48,187.731811
2204.945052,57,189.078468
2200.758161,48,190.223951
2199.624089,47,191.376442
2198.912171,47,192.482893
2199.399199,50,193.624874
2201.361107,48,194.738331
2199.805202,48,195.833272
2197.959161,47,196.921206
2200.076103,47,197.980617
2199.104601,46,199.052538
2199.928206,46,200.068911
2199.218049,49,201.188373
2200.924773,47,202.235773
2199.394417,47,203.357237
2199.271806,47,204.390124
2199.096149,47,205.425014
2201.232246,48,206.489929
2198.837058,47,207.525819
2202.084564,50,208.636773
2199.93229,48,209.746226
2200.564944,47,210.85568
2197.735064,49,211.988654
2202.198028,48,213.12513
2198.965522,46,214.221572
2198.877059,47,215.355546
2199.242706,47,216.411954
2198.896077,46,217.47787
2197.772894,47,218.531775
2199.07383,48,219.663749
2199.578598,47,220.697136
2198.499914,46,221.708005
2200.201984,46,222.775923
2195.068032,48,223.835333
2200.151485,47,224.900748
2201.362562,47,225.93864
2196.12824,49,227.077619
2199.671975,48,228.128522
2200.147235,46,229.17392
2201.608975,46,230.169776
2201.784634,47,231.191153
2199.372184,47,232.294601
2202.039018,50,233.43358
2199.779407,45,234.494491
2201.664734,47,235.593936
2198.430166,47,236.717902
2200.319264,47,237.778814
2202.369695,48,238.946317
2197.954437,46,239.984709
2197.936003,47,241.09166
2199.088098,46,242.146066
2197.521176,47,243.22099
2199.750409,48,244.316432
2202.19874,48,245.401364
2199.57825,47,246.482293
2201.223405,48,247.565223
2199.681071,49,248.694193
2199.627131,47,249.728582
2200.205531,50,250.908095
-157.047716,100,253.185552
-112.518228,100,255.489032
-151.51284,100,257.842053
-208.653642,100,260.149536
-196.695121,100,262.499055
-169.935894,100,264.744484
-114.937726,100,267.000923
-136.651766,100,269.247854
60.785224,100,271.497287
42.256625,100,273.760732
34.672884,100,276.113754
38.557493,100,278.425239
28.009086,100,280.734724
38.556701,100,283.051715
-72.040037,100,285.371208
-91.707888,100,287.711219
-128.095922,100,289.984172
-176.415444,100,292.30967
-122.152221,100,294.585125
-206.642553,100,296.82505
-102.076229,100,299.078487
-223.490591,100,301.412993
-227.961878,100,303.841579
-238.813731,100,306.134049
-250.496609,100,308.417524
-240.617024,100,310.752017
-238.45916,100,313.010458
-241.787148,100,315.285913
-227.090332,100,317.545354
-239.220296,100,319.79779
-229.538764,100,322.072759
-234.221978,100,324.425266
-219.554528,100,326.752765
