#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Schalke 04,S04,16,8,5,3,24:16,8,29
2,Werder Bremen,SVW,16,8,4,4,35:19,16,28
3,Bayern München,FCB,16,7,6,3,30:17,13,27
4,VfL Wolfsburg,WOB,16,7,5,4,24:18,6,26
5,VfB Stuttgart,VFB,16,7,4,5,22:19,3,25
6,1. FC Köln,KOE,16,6,5,5,15:12,3,23
7,Borussia Dortmund,BVB,16,6,5,5,24:25,-1,23
8,Hamburger SV,HSV,16,5,6,5,30:28,2,21
9,Bayer Leverkusen,B04,16,4,8,4,27:23,4,20
10,Eintracht Frankfurt,SGE,16,5,5,6,21:25,-4,20
11,1899 Hoffenheim,TSG,16,5,3,8,16:21,-5,18
12,VfL Bochum,BOC,16,4,4,8,14:26,-12,16
13,SC Freiburg,SCF,16,4,3,9,19:31,-12,15
14,Hertha BSC,BSC,16,4,2,10,23:29,-6,14
15,1. FSV Mainz 05,M05,16,3,4,9,12:26,-14,13
16,1. FC Nürnberg,FCN,16,3,3,10,14:31,-17,12
17,Hannover 96,H96,16,3,2,11,13:34,-21,11
18,Bor. Mönchengladbach,BMG,16,2,4,10,17:32,-15,10
