#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1. FSV Mainz 05,M05,6,6,0,0,14:5,9,18
2,Borussia Dortmund,BVB,6,5,0,1,16:5,11,15
3,Hannover 96,H96,6,4,1,1,11:7,4,13
4,1899 Hoffenheim,TSG,6,3,2,1,11:6,5,11
5,Bayer Leverkusen,B04,6,3,2,1,13:10,3,11
6,VfL Wolfsburg,WOB,6,3,0,3,11:10,1,9
7,SC Freiburg,SCF,6,3,0,3,8:9,-1,9
8,Hamburger SV,HSV,6,2,2,2,10:10,0,8
9,Bayern München,FCB,6,2,2,2,5:6,-1,8
10,FC St. Pauli,STP,6,2,1,3,7:8,-1,7
11,1. FC Kaiserslautern,FCK,6,2,1,3,8:11,-3,7
12,Werder Bremen,SVW,6,2,1,3,9:14,-5,7
13,Eintracht Frankfurt,SGE,6,2,0,4,9:8,1,6
14,1. FC Nürnberg,FCN,6,1,3,2,5:7,-2,6
15,1. FC Köln,KOE,6,1,2,3,5:10,-5,5
16,Bor. Mönchengladbach,BMG,6,1,2,3,10:19,-9,5
17,FC Schalke 04,S04,6,1,1,4,7:12,-5,4
18,VfB Stuttgart,VFB,6,1,0,5,11:13,-2,3
