#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hertha BSC,BSC,1,1,0,0,4:0,4,3
1,SC Freiburg,SCF,1,1,0,0,4:0,4,3
1,VfL Wolfsburg,WOB,1,1,0,0,4:0,4,3
4,1. FC Köln,KOE,1,1,0,0,4:1,3,3
4,Bayern München,FCB,1,1,0,0,4:1,3,3
4,VfB Stuttgart,VFB,1,1,0,0,4:1,3,3
7,Eintracht Frankfurt,SGE,1,1,0,0,3:0,3,3
8,Werder Bremen,SVW,1,1,0,0,3:1,2,3
9,Bayer Leverkusen,B04,1,1,0,0,2:0,2,3
10,FC Schalke 04,S04,1,1,0,0,2:1,1,3
10,TSV 1860 München,M60,1,1,0,0,2:1,1,3
12,Borussia Dortmund,BVB,1,1,0,0,1:0,1,3
13,Hamburger SV,HSV,1,0,1,0,2:2,0,1
14,SpVgg Unterhaching,UNT,1,0,1,0,1:1,0,1
15,1. FC Kaiserslautern,FCK,1,0,0,1,0:1,-1,0
16,Energie Cottbus,FCE,1,0,0,1,1:4,-3,0
17,VfL Bochum,BOC,1,0,0,1,0:3,-3,0
18,FC Hansa Rostock,ROS,1,0,0,1,0:4,-4,0
