#{"t_start": 1706727432.6936316, "env_id": "CurvyRaceEnv-v0"}
r,l,t
64.825237,100,0.4649
24.243456,100,0.750145
62.252744,100,0.938807
-65.1658,100,1.123466
-42.12259,100,1.307123
-31.57081,100,1.475268
45.775073,100,1.636907
-6.821704,100,1.799046
-16.884206,100,1.956681
14.425024,100,2.110313
62.378372,100,2.275955
45.835502,100,2.458113
77.308299,100,2.621252
-78.04869,100,2.791899
1.802557,100,2.957041
-90.301267,100,3.125185
54.761483,100,3.443959
39.554996,100,3.660145
27.77515,100,3.831793
-24.917544,100,3.985425
-96.199942,100,4.117037
30.097837,100,4.252154
16.974263,100,4.384768
-29.628957,100,4.5384
-125.225048,100,4.687027
28.463331,100,4.861177
-83.205249,100,5.082367
-50.503327,100,5.24901
42.018575,100,5.382125
15.894941,100,5.529752
5.944835,100,5.67888
15.743372,100,5.808992
18.127881,100,5.956619
-14.439751,100,6.116256
4.202073,100,6.254374
-14.759201,100,6.399999
-16.35209,100,6.54012
0.402101,100,6.678739
16.384285,100,6.845883
13.746303,100,7.038548
4.422922,100,7.233216
0.900179,100,7.422878
-0.863726,100,7.613543
-10.82472,100,7.829728
9.294945,100,8.019391
-3.107849,100,8.197043
2.262563,100,8.404222
-5.732964,100,8.65844
-17.677716,100,8.897645
6.316858,100,9.041269
8.391723,100,9.23894
38.0518,100,9.398076
-5.278527,100,9.546203
-1.140012,100,9.683321
-3.439091,100,9.832449
7.726611,100,10.000093
-6.938362,100,10.155227
16.181495,100,10.313362
-3.285219,100,10.472999
15.312626,100,10.632636
12.190958,100,10.78777
29.511387,100,10.951911
16.56264,100,11.099538
31.31914,100,11.249165
19.005231,100,11.408303
4.747946,100,11.565438
-0.684833,100,11.729079
-19.970854,100,11.914239
34.21679,100,12.081381
9.775977,100,12.260035
32.560504,100,12.470716
32.257706,100,12.631354
11.703891,100,12.814511
-8.731867,100,12.983156
45.471558,100,13.167314
30.043835,100,13.369488
33.508615,100,13.577168
39.697394,100,13.751816
38.747266,100,13.93097
34.590971,100,14.137148
36.34968,100,14.324309
24.252673,100,14.497459
15.743129,100,14.693626
78.970786,100,14.890295
-22.116376,100,15.084962
15.967653,100,15.263616
16.276561,100,15.447274
3.188763,100,15.627929
17.10905,100,15.797074
43.236041,100,15.975227
10.755769,100,16.138868
11.666502,100,16.310015
-10.797086,100,16.485666
21.959933,100,16.659816
51.077622,100,16.840971
-10.715614,100,17.043645
59.233329,100,17.21229
38.522004,100,17.394446
-10.239543,100,17.576603
-11.419825,100,17.769769
-3.858196,100,17.965938
-11.667668,100,18.184625
53.930671,100,18.378292
-10.112616,100,18.563451
37.997048,100,18.735599
43.760857,100,18.921258
35.939621,100,19.100413
7.696855,100,19.276063
11.593688,100,19.460722
8.164591,100,19.641377
99.02735,100,19.817529
50.39219,100,20.010694
32.557621,100,20.189348
35.763439,100,20.363998
-13.203104,100,20.546154
45.853771,100,20.730313
20.89107,100,20.904963
2.580459,100,21.08762
15.035577,100,21.299301
2.94674,100,21.484461
27.801041,100,21.662614
43.869649,100,21.84427
-21.595134,100,22.028929
34.68392,100,22.209084
-23.71281,100,22.397245
35.549412,100,22.583405
24.853779,100,22.779574
54.294294,100,22.958228
-19.44441,100,23.142386
-51.282181,100,23.340056
9.80332,100,23.483179
1.133986,100,23.67184
-36.8713,100,23.827976
-16.46877,100,23.994618
300.073712,100,24.138741
19.579472,100,24.313392
1.90046,100,24.451511
20.562054,100,24.600639
24.326218,100,24.769784
-16.774206,100,24.907902
-12.392696,100,25.078549
43.825994,100,25.229679
8.480821,100,25.35929
-7.358104,100,25.508419
-10.499403,100,25.63803
-2.047382,100,25.769142
6.052859,100,25.891748
30.405319,100,26.041877
-33.241547,100,26.178995
-4.873189,100,26.304603
-10.971674,100,26.442221
-23.751622,100,26.582842
10.138919,100,26.772004
21.173321,100,26.944152
46.434902,100,27.127809
73.157275,100,27.300459
26.109387,100,27.520647
112.856667,100,27.722321
34.254559,100,27.877454
76.221842,100,28.029113
81.526192,100,28.189723
-14.746818,100,28.348359
12.475295,100,28.493984
-11.899239,100,28.660126
-44.729054,100,28.840782
94.535696,100,29.014931
9.874523,100,29.214603
0.451248,100,29.382747
32.078275,100,29.58392
43.950681,100,29.729045
-28.37759,100,29.870667
21.331705,100,30.008785
36.193176,100,30.170925
218.809973,100,30.336567
14.792332,100,30.514219
76.363452,100,30.669353
22.612678,100,30.864521
37.946848,100,31.082208
173.875152,100,31.243346
8.381354,100,31.430507
-46.802693,100,31.604156
37.452182,100,31.7713
-7.581495,100,31.938443
55.234502,100,32.093076
-25.665626,100,32.264223
8.833884,100,32.459392
67.540349,100,32.647053
-1.087375,100,32.856232
120.167915,100,33.049399
42.605566,100,33.220045
-6.538615,100,33.379682
24.226865,100,33.566843
44.356396,100,33.73799
93.345865,100,33.926652
28.726443,100,34.118817
48.177561,100,34.309981
24.697573,100,34.48313
40.939695,100,34.670792
46.78367,100,34.874967
33.010505,100,35.08915
2.486868,100,35.300833
47.029753,100,35.449461
30.078076,100,35.640124
-16.807322,100,35.794757
21.104992,100,35.957897
-10.101223,100,36.117535
18.848029,100,36.283677
-3.531689,100,36.447818
15.070012,100,36.619466
-32.158811,100,36.801123
-15.531084,100,36.957757
-24.769231,100,37.131906
-4.381068,100,37.297549
-13.812257,100,37.468195
-25.156558,100,37.628333
