#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,15,6,5,4,23:20,3,23
2,1. FC Kaiserslautern,FCK,14,7,1,6,21:27,-6,22
3,FC Schalke 04,S04,15,6,3,6,28:20,8,21
4,Bayer Leverkusen,B04,15,6,3,6,22:23,-1,21
5,SC Freiburg,SCF,15,5,5,5,15:20,-5,20
6,Bayern München,FCB,14,5,4,5,21:16,5,19
7,Hertha BSC,BSC,14,6,0,8,18:26,-8,18
8,1. FC Köln,KOE,14,4,4,6,21:26,-5,16
9,TSV 1860 München,M60,15,4,4,7,18:27,-9,16
10,Werder Bremen,SVW,15,4,4,7,16:27,-11,16
11,VfL Wolfsburg,WOB,14,3,5,6,17:19,-2,14
12,FC Hansa Rostock,ROS,15,4,2,9,11:22,-11,14
13,Hamburger SV,HSV,15,2,4,9,22:32,-10,10
14,VfL Bochum,BOC,14,2,2,10,10:30,-20,8
15,Eintracht Frankfurt,SGE,15,2,2,11,15:40,-25,8
16,SpVgg Unterhaching,UNT,14,1,4,9,11:33,-22,7
17,VfB Stuttgart,VFB,14,0,5,9,9:25,-16,5
18,Energie Cottbus,FCE,14,1,2,11,10:27,-17,5
