#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,19,13,1,5,46:13,33,40
2,Borussia Dortmund,BVB,19,12,4,3,43:14,29,40
3,FC Schalke 04,S04,19,13,1,5,45:24,21,40
4,Bor. Mönchengladbach,BMG,19,12,3,4,31:12,19,39
5,Werder Bremen,SVW,19,9,4,6,31:32,-1,31
6,Bayer Leverkusen,B04,19,8,6,5,26:25,1,30
7,Hannover 96,H96,19,6,9,4,21:24,-3,27
8,1899 Hoffenheim,TSG,19,6,5,8,20:22,-2,23
9,VfL Wolfsburg,WOB,19,7,2,10,24:36,-12,23
10,VfB Stuttgart,VFB,19,6,4,9,24:26,-2,22
11,Hamburger SV,HSV,19,5,7,7,24:33,-9,22
12,1. FSV Mainz 05,M05,19,5,6,8,27:33,-6,21
13,1. FC Nürnberg,FCN,19,6,3,10,19:29,-10,21
14,1. FC Köln,KOE,19,6,3,10,28:40,-12,21
15,Hertha BSC,BSC,19,4,8,7,25:30,-5,20
16,1. FC Kaiserslautern,FCK,19,3,9,7,15:23,-8,18
17,FC Augsburg,FCA,19,3,7,9,17:31,-14,16
18,SC Freiburg,SCF,19,4,4,11,23:42,-19,16
