#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,10,7,2,1,25:7,18,23
2,Borussia Dortmund,BVB,9,6,2,1,19:5,14,20
3,Hannover 96,H96,10,6,1,3,18:14,4,19
4,SC Freiburg,SCF,10,6,1,3,16:12,4,19
5,1. FC Nürnberg,FCN,10,6,0,4,16:13,3,18
6,Hamburger SV,HSV,9,5,2,2,15:13,2,17
7,Werder Bremen,SVW,10,5,1,4,18:16,2,16
8,Bayer Leverkusen,B04,11,4,4,3,19:19,0,16
9,1899 Hoffenheim,TSG,9,4,3,2,19:11,8,15
10,1. FSV Mainz 05,M05,10,5,0,5,13:9,4,15
11,FC Schalke 04,S04,11,4,2,5,18:12,6,14
12,1. FC Köln,KOE,9,4,2,3,12:13,-1,14
13,VfB Stuttgart,VFB,11,4,1,6,23:17,6,13
14,1. FC Kaiserslautern,FCK,10,3,4,3,16:11,5,13
15,VfL Wolfsburg,WOB,10,3,4,3,16:16,0,13
16,Eintracht Frankfurt,SGE,10,4,1,5,9:14,-5,13
17,FC St. Pauli,STP,11,3,3,5,15:18,-3,12
18,Bor. Mönchengladbach,BMG,10,0,3,7,12:25,-13,3
