Rg,Spieler,Land,Pos,Verein,Alt,Geboren,GS,Startelf,Min.,90,Tor,Vor,T+V,T-Elf,Elf,VeElf,Gelb,Rot,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Tor,Vor,T+V,T-Elf,T+V-Elf,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Brenden Aaronson,USA,MF,Union Berlin,23-074,2000,11,4,327.0,3.6,0,0,0,0,0,0,2,1,0.1,0.1,0.3,4,4,9,18,0,0,0,0,0,4,7,11,4,11
2,Paxten Aaronson,USA,MF,Eint Frankfurt,20-131,2003,7,1,101.0,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,2,2,5,7,0,89,89,0,89,11,7,19,11,19
3,Junior Adamu,AUT,"FW,MF",Freiburg,22-212,2001,12,0,95.0,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,2,1,1,5,0,0,0,0,0,6,11,17,6,17
4,Sargis Adamyan,ARM,"FW,MF",Köln,30-226,1993,5,0,142.0,1.6,0,1,1,0,0,0,1,0,0.9,0.9,0.5,15,4,5,19,0,63,63,0,63,59,34,93,59,93
5,Karim Adeyemi,GER,"FW,MF",Dortmund,21-351,2002,11,3,370.0,4.1,0,1,1,0,0,0,2,0,0.8,0.8,0.9,17,19,13,39,0,24,24,0,24,20,21,40,20,40
6,Amine Adli,MAR,"MF,DF",Leverkusen,23-239,2000,11,2,265.0,2.9,1,3,4,1,0,0,1,0,0.5,0.5,0.6,12,15,15,45,34,102,136,34,136,18,22,39,18,39
7,Felix Agu,GER,"MF,DF",Werder Bremen,24-099,1999,6,2,196.0,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,2,5,8,8,0,0,0,0,0,6,3,8,6,8
8,Ludovic Ajorque,FRA,FW,Mainz 05,29-313,1994,13,10,878.0,9.8,1,0,1,1,0,2,2,0,4.5,2.9,0.7,36,3,11,57,10,0,10,10,10,46,7,53,30,37
9,Kevin Akpoguma,NGA,DF,Hoffenheim,28-260,1995,10,5,579.0,6.4,0,0,0,0,0,0,5,0,0.0,0.0,0.1,1,4,31,6,0,0,0,0,0,0,2,2,0,2
10,Faride Alidou,GER,"FW,MF",Köln,22-170,2001,9,1,271.0,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,3,11,9,31,0,0,0,0,0,7,2,9,7,9
11,Nadiem Amiri,GER,"MF,FW",Leverkusen,27-069,1996,7,0,19.0,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,1,2,3,5,0,0,0,0,0,28,0,28,28,28
12,Kofi Amoako,GER,MF,Wolfsburg,18-243,2005,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Robert Andrich,GER,"MF,DF",Leverkusen,29-104,1994,10,3,336.0,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,12,5,0,0,0,0,0,0,0,0,0,0
14,Waldemar Anton,GER,DF,Stuttgart,27-168,1996,16,16,1.408,15.6,0,1,1,0,0,0,2,0,0.6,0.6,0.2,8,22,90,8,0,6,6,0,6,4,1,5,4,5
15,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,29-331,1994,14,5,637.0,7.1,1,1,2,1,0,0,3,0,1.4,1.4,2.3,37,25,15,74,14,14,28,14,28,20,32,53,20,53
16,Maximilian Arnold,GER,MF,Wolfsburg,29-222,1994,13,10,977.0,10.9,1,0,1,1,0,0,5,0,0.4,0.4,1.5,19,11,58,10,9,0,9,9,9,4,14,17,4,17
17,Arthur,BRA,DF,Leverkusen,20-293,2003,2,0,34.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2,2,4,0,0,0,0,0,6,0,6,6,6
18,Takuma Asano,JPN,"FW,MF",Bochum,29-055,1994,16,16,1.178,13.1,5,1,6,5,0,0,1,0,4.8,4.8,0.9,57,29,22,87,38,8,46,38,46,37,7,43,37,43
19,Noah Atubolu,GER,TW,Freiburg,21-224,2002,16,16,1.44,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Matthias Bader,GER,"DF,MF",Darmstadt 98,26-201,1997,12,10,885.0,9.8,1,1,2,1,0,0,1,0,0.4,0.4,2.0,23,17,35,33,10,10,20,10,20,4,20,24,4,24
21,Ridle Baku,GER,"DF,MF",Wolfsburg,25-271,1998,16,9,904.0,10.0,0,0,0,0,0,0,2,0,0.6,0.6,1.6,21,14,41,67,0,0,0,0,0,6,16,21,6,21
22,Samuel Bamba,GER,FW,Dortmund,19-325,2004,2,0,47.0,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,3,5,2,7,0,0,0,0,0,51,15,67,51,67
23,Aymen Barkok,MAR,"MF,FW",Mainz 05,25-228,1998,13,1,321.0,3.6,1,0,1,1,0,1,2,0,1.7,0.9,0.3,12,14,16,33,28,0,28,28,28,48,7,55,26,33
24,Leandro Barreiro Martins,LUX,MF,Mainz 05,24-001,2000,14,14,1.249,13.9,2,0,2,2,0,0,4,0,2.1,2.1,0.5,26,9,48,21,14,0,14,14,14,15,4,19,15,19
25,Daniel Batz,GER,TW,Mainz 05,32-357,1991,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Maximilian Bauer,GER,DF,Augsburg,23-329,2000,8,5,493.0,5.5,1,0,1,1,0,0,1,0,1.4,1.4,0.0,14,0,11,0,18,0,18,18,18,25,0,25,25,25
27,Elias Baum,GER,"MF,DF",Eint Frankfurt,18-070,2005,2,0,20.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Oliver Baumann,GER,TW,Hoffenheim,33-216,1990,16,16,1.44,16.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,1,0,0,0,0,6,6,0,6,0,1,1,0,1
29,Christoph Baumgartner,AUT,MF,RB Leipzig,24-156,1999,15,6,621.0,6.9,3,1,4,3,0,0,2,0,2.2,2.2,1.0,32,15,33,52,43,14,58,43,58,32,14,46,32,46
30,Ihlas Bebou,TOG,"FW,DF",Hoffenheim,29-256,1994,14,7,721.0,8.0,3,0,3,3,0,0,2,0,1.8,1.8,0.2,20,15,17,58,37,0,37,37,37,22,3,24,22,24
31,Adrian Beck,GER,MF,Heidenheim,26-209,1997,13,7,566.0,6.3,0,1,1,0,0,0,1,0,1.6,1.6,0.7,23,6,10,20,0,16,16,0,16,26,11,37,26,37
32,Sheraldo Becker,SUR,"FW,MF",Union Berlin,28-329,1995,11,7,645.0,7.2,0,1,1,0,0,0,0,0,0.8,0.8,1.8,26,32,20,73,0,14,14,0,14,12,25,37,12,37
33,Kevin Behrens,GER,FW,Union Berlin,32-335,1991,15,13,1.086,12.1,4,0,4,4,0,0,2,0,5.0,5.0,0.8,58,9,40,79,33,0,33,33,33,41,7,48,41,48
34,Maximilian Beier,GER,FW,Hoffenheim,21-079,2002,15,11,945.0,10.5,6,0,6,6,0,0,0,0,4.5,4.5,0.2,47,21,14,76,57,0,57,57,57,43,2,45,43,45
35,Stefan Bell,GER,DF,Mainz 05,32-133,1991,10,8,666.0,7.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,3,0,23,2,0,0,0,0,0,3,1,4,3,4
36,Ramy Bensebaini,ALG,DF,Dortmund,28-263,1995,13,11,1.001,11.1,0,0,0,0,0,0,4,1,1.6,1.6,0.4,20,16,74,59,0,0,0,0,0,14,3,18,14,18
37,Mergim Berisha,GER,FW,Hoffenheim,25-238,1998,6,0,144.0,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.3,8,2,3,13,0,0,0,0,0,32,19,51,32,51
38,Mergim Berisha,GER,FW,Augsburg,25-238,1998,2,2,122.0,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,3,3,1,5,0,0,0,0,0,13,7,20,13,20
39,Bernardo,BRA,DF,Bochum,28-235,1995,16,16,1.439,16.0,1,0,1,1,0,0,3,0,1.1,1.1,0.2,14,13,40,18,6,0,6,6,6,7,1,9,7,9
40,Matúš Bero,SVK,"MF,FW",Bochum,28-120,1995,9,8,580.0,6.4,0,0,0,0,0,0,3,0,0.7,0.7,0.5,12,3,10,29,0,0,0,0,0,10,8,18,10,18
41,Jan-Niklas Beste,GER,"FW,MF",Heidenheim,25-000,1999,14,14,1.173,13.0,5,7,12,5,0,1,4,0,2.2,1.4,3.0,44,29,23,54,38,54,92,38,92,17,23,40,11,34
42,Tom Bischof,GER,"MF,FW",Hoffenheim,18-190,2005,8,1,146.0,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.7,8,2,15,12,0,62,62,0,62,3,44,46,3,46
43,Leonardo Bittencourt,GER,MF,Werder Bremen,30-016,1993,13,10,756.0,8.4,1,1,2,1,0,0,4,0,1.4,1.4,1.1,25,31,36,29,12,12,24,12,24,16,13,29,16,29
44,Janis Blaswich,GER,TW,RB Leipzig,32-247,1991,16,16,1.44,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
45,Victor Boniface,NGA,FW,Leverkusen,23-012,2000,16,15,1.276,14.2,10,7,17,9,1,1,2,0,12.1,11.3,3.6,149,43,29,131,71,49,120,63,113,85,25,110,79,105
46,Leonardo Bonucci,ITA,DF,Union Berlin,36-248,1987,7,6,460.0,5.1,1,0,1,0,1,1,0,0,0.8,0.0,0.3,3,0,21,1,20,0,20,0,0,15,6,22,0,6
47,Yvandro Borges Sanches,LUX,"MF,FW",M'Gladbach,19-225,2004,3,0,18.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Sebastiaan Bornauw,BEL,DF,Wolfsburg,24-288,1999,9,6,487.0,5.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,2,1,14,1,0,0,0,0,0,4,0,4,4,4
